title,equation_latex,main_category,notes
Simple Interest Future Value,\text{FV} = \text{P}(1 + \text{r}t),Foundations - Time Value of Money,"This equation calculates the future value of a principal amount under simple interest. P represents the principal amount (initial investment) Simple interest is the most basic form of interest calculation, where interest is calculated only on the original principal. It does not account for compounding, making it suitable only for short-term instruments or when explicitly specified."
Simple Interest Present Value,\text{\text{P}V} = \text{FV} / (1 + \text{r}t),Foundations - Time Value of Money,"This equation calculates the present value of a future amount under simple interest. PV represents the present value (the amount that needs to be invested today) Simple interest is the most basic form of interest calculation, where interest is calculated only on the original principal. It does not account for compounding, making it suitable only for short-term instruments or when explicitly specified."
Simple Interest Amount,\text{I} = \text{P}\text{r}t,Foundations - Time Value of Money,"This equation calculates the interest earned or paid under simple interest. I represents the interest amount Simple interest is the most basic form of interest calculation, where interest is calculated only on the original principal. It does not account for compounding, making it suitable only for short-term instruments or when explicitly specified."
Compound Interest Future Value (Annual),\text{FV} = \text{P}(1 + \text{r})^t,Foundations - Time Value of Money,"This equation calculates the future value with annual compounding. FV represents the future value Compound interest is the foundation of modern finance, reflecting the time value of money through exponential growth. The compounding frequency significantly impacts the effective rate."
Compound Interest Future Value (Multiple Periods),\text{FV} = \text{P}(1 + \text{r}/\text{m})^{\text{m}t},Foundations - Time Value of Money,"This equation calculates the future value with compounding m times per year. FV represents the future value Compound interest is the foundation of modern finance, reflecting the time value of money through exponential growth. The compounding frequency significantly impacts the effective rate."
Effective Annual Rate,\text{EAR} = (1 + \text{r}/\text{m})^\text{m} - 1,Foundations - Time Value of Money,This equation calculates the effective annual interest rate from a nominal rate. EAR represents the effective annual rate
Continuous Compounding Future Value,\text{FV} = \text{P}e^{\text{r}t},Foundations - Time Value of Money,This equation calculates the future value with continuous compounding. FV represents the future value
Present Value with Annual Discounting,\text{\text{P}V} = \text{FV} / (1 + \text{r})^t,Foundations - Time Value of Money,"This equation calculates the present value of a future amount with annual discounting. PV represents the present value Present value is the cornerstone of valuation, representing the current worth of a future cash flow. The discount rate reflects both the time value of money and risk."
Present Value with Multiple Period Discounting,\text{\text{P}V} = \text{FV} / (1 + \text{r}/\text{m})^{\text{m}t},Foundations - Time Value of Money,"This equation calculates the present value with discounting m times per year. PV represents the present value Present value is the cornerstone of valuation, representing the current worth of a future cash flow. The discount rate reflects both the time value of money and risk."
Present Value with Continuous Discounting,\text{\text{P}V} = \text{FV} e^{-\text{r}t},Foundations - Time Value of Money,"This equation calculates the present value with continuous discounting. PV represents the present value Present value is the cornerstone of valuation, representing the current worth of a future cash flow. The discount rate reflects both the time value of money and risk."
Discount Factor (Annual),\text{DF} = 1 / (1 + \text{r})^t,Foundations - Time Value of Money,"This equation calculates the discount factor for annual discounting. DF represents the discount factor The discount factor represents the present value of $1 received at time t. It is always between 0 and 1, decreasing as time increases or discount rates rise."
Discount Factor (Continuous),\text{DF} = e^{-\text{r}t},Foundations - Time Value of Money,"This equation calculates the discount factor with continuous compounding. DF represents the discount factor The discount factor represents the present value of $1 received at time t. It is always between 0 and 1, decreasing as time increases or discount rates rise."
Day Count Fraction (Actual/Actual),t = Days i\text{n} \text{P}e\text{r}iod / Days i\text{n} Yea\text{r},Foundations - Interest Rate Conventions,This equation calculates the time fraction using the Actual/Actual day count convention. t represents the time fraction
Day Count Fraction (30/360),\text{t} = (360(Y2 - Y1) + 30(M2 - M1) + (D2 - D1)) / 360,Foundations - Interest Rate Conventions,This equation calculates the time fraction using the 30/360 day count convention. t represents the time fraction
Day Count Fraction (Actual/360),t = Days i\text{n} \text{P}e\text{r}iod / 360,Foundations - Interest Rate Conventions,This equation calculates the time fraction using the Actual/360 day count convention. t represents the time fraction
Day Count Fraction (Actual/365),t = Days i\text{n} \text{P}e\text{r}iod / 365,Foundations - Interest Rate Conventions,This equation calculates the time fraction using the Actual/365 day count convention. t represents the time fraction
Forward Rate (Discrete),F_{\text{t},T} = ((1 + r_T)^T / (1 + r_t)^t)^{1/(T-t)} - 1,Foundations - Interest Rate Conventions Forward rates are implied by current market prices and represent expectations of future spot rates under no-arbitrage conditions.
Forward Rate (Continuous),F_{\text{t},T} = (r_T T - r_t t) / (T - t),Foundations - Interest Rate Conventions Forward rates are implied by current market prices and represent expectations of future spot rates under no-arbitrage conditions.
Spot Rate from Zero-Coupon Bond,r_{\text{t}} = -l\text{n}(P_{\text{t}}) / \text{t},Foundations - Interest Rate Conventions,This equation calculates the continuously compounded spot rate from a zero-coupon bond price. r_t represents the spot rate for maturity t The spot rate is the yield on a zero-coupon bond maturing at time t. It represents the pure interest rate for a specific maturity without reinvestment risk.
Zero-Coupon Bond Price,P_{\text{t}} = e^{-r_{\text{t}} \text{t}},Foundations - Interest Rate Conventions,This equation calculates the price of a zero-coupon bond given the continuously compounded spot rate. P_t represents the bond price
Par Yield,c = (1 - P_{\text{T}}) / (sum_{i=1}^\text{T} P_{t_{i}}),Foundations - Interest Rate Conventions,This equation calculates the par yield (coupon rate that makes a bond price equal to par). c represents the par yield
Annuity Present Value,\text{\text{P}V} = C * (1 - (1 + \text{r})^{-\text{n}}) / \text{r},Foundations - Time Value of Money,"This equation calculates the present value of an ordinary annuity. PV represents the present value Present value is the cornerstone of valuation, representing the current worth of a future cash flow. The discount rate reflects both the time value of money and risk."
Annuity Future Value,\text{FV} = C * ((1 + \text{r})^\text{n} - 1) / \text{r},Foundations - Time Value of Money,This equation calculates the future value of an ordinary annuity. FV represents the future value
Growing Annuity Present Value,\text{\text{P}V} = C * (1 - ((1 + g) / (1 + \text{r}))^\text{n}) / (\text{r} - g),Foundations - Time Value of Money,"This equation calculates the present value of a growing annuity. PV represents the present value Present value is the cornerstone of valuation, representing the current worth of a future cash flow. The discount rate reflects both the time value of money and risk."
Perpetuity Present Value,\text{\text{P}V} = C / \text{r},Foundations - Time Value of Money,"This equation calculates the present value of a perpetuity (infinite series of equal payments). PV represents the present value Present value is the cornerstone of valuation, representing the current worth of a future cash flow. The discount rate reflects both the time value of money and risk."
Growing Perpetuity Present Value,\text{\text{P}V} = C / (\text{r} - g),Foundations - Time Value of Money,"This equation calculates the present value of a growing perpetuity. PV represents the present value Present value is the cornerstone of valuation, representing the current worth of a future cash flow. The discount rate reflects both the time value of money and risk."
Nominal to Effective Rate Conversion,r_{eff} = (1 + r_{\text{n}o\text{m}} / \text{m})^\text{m} - 1,Foundations - Interest Rate Conventions,This equation converts a nominal interest rate to an effective rate. r_eff represents the effective annual rate
Effective to Nominal Rate Conversion,r_{\text{n}o\text{m}} = \text{m} * ((1 + r_{eff})^{1/\text{m}} - 1),Foundations - Interest Rate Conventions,This equation converts an effective interest rate to a nominal rate. r_nom represents the nominal annual rate
Continuous Rate from Discrete,r_{co\text{n}\text{t}} = \text{m} * l\text{n}(1 + r_{disc} / \text{m}),Foundations - Interest Rate Conventions,This equation converts a discretely compounded rate to a continuously compounded rate. r_cont represents the continuously compounded rate
Discrete Rate from Continuous,r_{disc} = \text{m} * (e^{r_{co\text{n}\text{t}} / \text{m}} - 1),Foundations - Interest Rate Conventions,This equation converts a continuously compounded rate to a discretely compounded rate. r_disc represents the discretely compounded nominal rate
Time Value of Money General Formula,\text{FV} = \text{\text{P}V} * (1 + \text{r})^t,Foundations - Time Value of Money,This is the fundamental time value of money equation. FV represents the future value
Present Value of Uneven Cash Flows,\text{\text{P}V} = sum_{t=1}^\text{n} CF_{t} / (1 + \text{r})^t,Foundations - Time Value of Money,"This equation calculates the present value of a series of unequal cash flows. PV represents the present value Present value is the cornerstone of valuation, representing the current worth of a future cash flow. The discount rate reflects both the time value of money and risk."
Future Value of Uneven Cash Flows,\text{FV} = sum_{t=1}^\text{n} CF_{t} * (1 + \text{r})^{\text{n}-t},Foundations - Time Value of Money,This equation calculates the future value of a series of unequal cash flows. FV represents the future value at time n
Interest Rate Parity,F = S * (1 + r_{d}) / (1 + r_{f}),Foundations - Interest Rate Conventions,This equation expresses the relationship between spot and forward exchange rates. F represents the forward exchange rate
Real Interest Rate,r_{real} = (1 + r_{\text{n}o\text{m}}) / (1 + i\text{n}fla\text{t}io\text{n}) - 1,Foundations - Interest Rate Conventions,This equation calculates the real interest rate from the nominal rate and inflation. r_real represents the real interest rate
Fisher Equation,r_{\text{n}o\text{m}} = r_{real} + i\text{n}fla\text{t}io\text{n} + r_{real} * i\text{n}fla\text{t}io\text{n},Foundations - Interest Rate Conventions,This is the exact Fisher equation relating nominal and real interest rates. r_nom represents the nominal rate
Yield to First Call,Y\text{T}C = (C + (P_{call} - P) / \text{n}) / ((P_{call} + P) / 2),Foundations - Interest Rate Conventions,This equation calculates the yield to call for a callable bond. YTC represents the yield to call
Current Yield,CY = C / \text{P},Foundations - Interest Rate Conventions,This equation calculates the current yield of a bond. CY represents the current yield
Yield to Maturity Approximation,Y\text{T}M ≈ (C + (F - \text{P}) / \text{n}) / ((F + \text{P}) / 2),Foundations - Interest Rate Conventions,This equation provides an approximation of the yield to maturity. YTM represents the yield to maturity
Macaulay Duration (Zero-Coupon),D_{\text{m}ac} = \text{t},Foundations - Interest Rate Conventions,This equation shows that the Macaulay duration of a zero-coupon bond equals its time to maturity. D_mac represents the Macaulay duration Duration measures the sensitivity of a bond price to interest rate changes. It represents the weighted average time to receive cash flows.
Macaulay Duration (Coupon Bond),D_{mac} = sum_{t=1}^\text{n} (t * CF_{t} / (1 + y)^t) / \text{P},Foundations - Interest Rate Conventions,This equation calculates the Macaulay duration of a coupon bond. D_mac represents the Macaulay duration Duration measures the sensitivity of a bond price to interest rate changes. It represents the weighted average time to receive cash flows.
Modified Duration,D_{\text{m}od} = D_{\text{m}ac} / (1 + y),Foundations - Interest Rate Conventions,This equation calculates the modified duration from Macaulay duration. D_mod represents the modified duration Duration measures the sensitivity of a bond price to interest rate changes. It represents the weighted average time to receive cash flows.
Dollar Duration,DD = -D_{\text{m}od} * \text{P},Foundations - Interest Rate Conventions,This equation calculates the dollar duration (also called price value of a basis point or PV01). DD represents the dollar duration Duration measures the sensitivity of a bond price to interest rate changes. It represents the weighted average time to receive cash flows.
Convexity,Co\text{n}v = sum_{t=1}^\text{n} (t(t+1) * CF_{t} / (1 + y)^{t+2}) / \text{P},Foundations - Interest Rate Conventions,This equation calculates the convexity of a bond. Conv represents convexity
Price Change Approximation,d\text{P}/\text{P} ≈ -D_{\text{m}od} * dy + 0.5 * Co\text{n}v * (dy)^2,Foundations - Interest Rate Conventions,This equation approximates the percentage price change of a bond for a small change in yield. dP/P represents the percentage price change
Forward Price of an Asset,F = S * e^{(\text{r} - q)\text{T}},Foundations - Interest Rate Conventions,This equation calculates the forward price of an asset with continuous dividend yield. F represents the forward price
Cost of Carry,C = \text{r} - q,Foundations - Interest Rate Conventions,This equation calculates the cost of carry for an asset. C represents the cost of carry
Interest Rate Forward Price,F = (1 + r_{lo\text{n}g} * T_{lo\text{n}g}) / (1 + r_{shor\text{t}} * T_{shor\text{t}}) - 1,Foundations - Interest Rate Conventions,This equation calculates the forward interest rate using discrete compounding. F represents the forward rate
Zero Rate from Forward Rates,r_{0},T = (1/T) * sum_{i=1}^T F_{i-1,i} Forward rates are implied by current market prices and represent expectations of future spot rates under no-arbitrage conditions.
Bootstrap Method,P_{\text{T}} = 1 / (1 + c * sum_{i=1}^{\text{T}-1} P_{i}),Foundations - Interest Rate Conventions,This equation is used in the bootstrap method to extract zero-coupon prices from coupon bond prices. P_T represents the zero-coupon price for maturity T
Rolling Down the Yield Curve,\text{T}otal Retu\text{r}\text{n} = \text{I}\text{n}co\text{m}e + Rolldow\text{n},Foundations - Interest Rate Conventions,This equation decomposes the total return of a bond into income and rolldown components. Total Return is the total return over a period
